id,cmgroup,age,struc
1972,220,1,artproc
1973,230,2,artproc
1974,230,2,artproc
1975,270,2,artproc
1976,270,2,artproc
1977,280,2,artproc
1978,280,3,artproc
1979,210,2,artproc
1980,210,1,artproc
1981,210,1,artproc
1982,220,1,artproc
1983,220,2,artproc
1984,220,1,artproc
1985,220,2,artproc
1986,220,2,artproc
1987,220,1,artproc
1988,220,1,artproc
1989,220,1,artproc
1990,220,2,artproc
1991,220,1,artproc
1992,220,1,artproc
1993,220,2,artproc
1994,230,2,artproc
1995,230,2,artproc
1996,230,2,artproc
1997,230,2,artproc
1998,230,2,artproc
1999,230,2,artproc
2000,230,1,artproc
2001,230,2,artproc
2002,240,1,artproc
2003,240,1,artproc
2004,240,1,artproc
2005,240,1,artproc
2006,240,2,artproc
2007,240,1,artproc
2008,240,2,artproc
2009,240,1,artproc
2010,240,2,artproc
2011,250,2,artproc
2012,250,2,artproc
2013,250,2,artproc
2014,250,1,artproc
2015,250,1,artproc
2016,260,2,artproc
2017,260,2,artproc
2018,260,2,artproc
2019,260,2,artproc
2020,260,1,artproc
2021,260,2,artproc
2022,260,1,artproc
2023,270,3,artproc
2024,270,2,artproc
2025,270,2,artproc
2026,270,1,artproc
2027,270,1,artproc
2028,270,3,artproc
2029,270,3,artproc
2030,270,2,artproc
2031,270,2,artproc
2032,270,2,artproc
2033,270,2,artproc
2034,270,2,artproc
2035,270,2,artproc
2036,270,2,artproc
2037,280,2,artproc
2038,280,2,artproc
2039,280,2,artproc
2040,280,1,artproc
2041,280,1,artproc
2042,290,2,artproc
2043,290,3,artproc
2044,530,8,artproc
2045,530,8,artproc
2046,230,2,artproc
2047,230,1,artproc
2048,230,2,artproc
2049,270,2,artproc
2050,270,2,artproc
2051,270,1,artproc
2052,280,2,artproc
2053,280,2,artproc
2054,170,1,artproc
2055,170,1,artproc
2056,220,2,artproc
2057,220,1,artproc
2058,220,2,artproc
2059,220,1,artproc
2060,250,2,artproc
2061,250,2,artproc
2062,270,2,artproc
2063,270,2,artproc
2064,280,2,artproc
2065,280,2,artproc
2066,290,2,artproc
2067,290,2,artproc
2068,220,1,artproc
2069,220,1,artproc
2070,230,2,artproc
2071,230,3,artproc
2072,230,1,artproc
2073,270,2,artproc
2074,270,2,artproc
2075,430,4,artproc
2076,430,3,artproc
2077,210,1,artproc
2078,210,2,artproc
2079,230,2,artproc
2080,230,2,artproc
2081,230,2,artproc
2082,240,1,artproc
2083,240,1,artproc
2084,260,2,artproc
2085,260,1,artproc
2086,280,2,artproc
2087,280,3,artproc
2088,280,2,artproc
2089,160,1,artproc
2090,160,1,artproc
2091,160,1,artproc
2092,210,1,artproc
2093,210,1,artproc
2094,210,1,artproc
2095,220,1,artproc
2096,220,1,artproc
2097,300,2,artproc
2098,300,3,artproc
2099,410,4,artproc
2100,410,3,artproc
2101,410,3,artproc
2102,410,6,artproc
2103,470,6,artproc
2104,470,7,artproc
2105,160,1,artproc
2106,160,1,artproc
2107,200,1,artproc
2108,200,1,artproc
2109,200,2,artproc
2110,200,2,artproc
2111,210,2,artproc
2112,210,1,artproc
2113,210,1,artproc
2114,210,2,artproc
2115,220,1,artproc
2116,220,2,artproc
2117,220,1,artproc
2118,220,1,artproc
2119,220,1,artproc
2120,220,2,artproc
2121,220,2,artproc
2122,220,1,artproc
2123,220,1,artproc
2124,220,2,artproc
2125,230,2,artproc
2126,230,1,artproc
2127,230,1,artproc
2128,230,1,artproc
2129,230,2,artproc
2130,230,2,artproc
2131,230,2,artproc
2132,230,1,artproc
2133,230,1,artproc
2134,230,1,artproc
2135,230,1,artproc
2136,230,1,artproc
2137,240,2,artproc
2138,240,1,artproc
2139,240,2,artproc
2140,240,1,artproc
2141,240,2,artproc
2142,240,1,artproc
2143,250,2,artproc
2144,250,2,artproc
2145,250,2,artproc
2146,250,1,artproc
2147,250,2,artproc
2148,250,1,artproc
2149,250,3,artproc
2150,260,2,artproc
2151,260,1,artproc
2152,260,1,artproc
2153,260,2,artproc
2154,260,2,artproc
2155,260,2,artproc
2156,260,2,artproc
2157,260,2,artproc
2158,270,1,artproc
2159,270,2,artproc
2160,270,3,artproc
2161,270,2,artproc
2162,270,1,artproc
2163,270,2,artproc
2164,280,2,artproc
2165,280,2,artproc
2166,280,2,artproc
2167,280,2,artproc
2168,280,2,artproc
2169,280,2,artproc
2170,280,2,artproc
2171,280,2,artproc
2172,290,2,artproc
2173,290,2,artproc
2174,290,2,artproc
2175,290,1,artproc
2176,290,3,artproc
2177,290,2,artproc
2178,300,2,artproc
2179,300,3,artproc
2180,300,2,artproc
2181,280,2,artproc
2182,280,2,artproc
2183,230,1,artproc
2184,230,2,artproc
2185,260,1,artproc
2186,260,2,artproc
2187,290,2,artproc
2188,290,2,artproc
2189,280,2,artproc
2190,280,2,artproc
2191,200,1,artproc
2192,200,1,artproc
2193,220,1,artproc
